,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
89,Dear Mama,Me Against The World,2Pac,1995-01-01,280000,0,0.775,0.349,0.775,0.535,0.0,0.14,-7.125,0.113,84.122,4
90,Wonda Why They Call U B____,All Eyez On Me,2Pac,1996-02-13,258466,0,0.792,0.0731,0.792,0.876,0.0,0.351,-2.856,0.228,101.277,4
91,Stan,Curtain Call (Deluxe),Eminem,2005-12-06,404426,0,0.781,0.0375,0.781,0.74,2.27e-06,0.449,-5.065,0.208,80.056,4
92,Kush - Main,Kush,Dr. Dre,2010-11-18,235120,0,0.424,0.000859,0.424,0.866,0.000139,0.0869,-6.171,0.2,190.276,4
93,What's The Difference,2001 (Explicit Version),Dr. Dre,1999-11-16,244266,0,0.782,0.252,0.782,0.819,0.0,0.133,-0.158,0.251,91.824,4
94,Pass the Cohiba (Freestyle),Grizzly City 3,Fashawn,2012-08-21,228908,11,0.648,0.0594,0.648,0.765,4.76e-06,0.179,-8.718,0.226,86.854,4
95,Papers (Remix),Higher Learning 2 (Deluxe Edition),Fashawn,2012-04-03,241523,11,0.735,0.0979,0.735,0.577,0.0,0.259,-6.213,0.183,119.609,4
96,No Escapin' This,TAKE IT OR SQUEEZE IT,The Beatnuts,2001-03-10,256480,0,0.759,0.156,0.759,0.65,1.41e-06,0.182,-6.507,0.333,92.079,4
97,Where The Hood At,Grand Champ,DMX,2003-01-01,286266,49,0.537,0.158,0.537,0.948,0.0,0.356,-3.08,0.38,186.057,4
98,To Live & Die In Amerikkka,Color Us,LB199X,2019-12-06,258055,44,0.58,0.22,0.58,0.734,6.54e-06,0.195,-3.57,0.287,81.538,4
99,The Point Of No Return,Revolutionary Vol. 2,Immortal Technique,2004-10-05,241826,0,0.489,0.277,0.489,0.829,0.0,0.295,-7.017,0.469,83.431,4
