,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
83,Down,All Or Nothing,Jay Sean,1/1/09,212106,3,0.657,0.0108,0.657,0.695,0,0.0822,-4.493,0.0321,65.997,4
84,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,80,0.727,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
85,Never Forget You,Never Forget You,Zara Larsson,9/10/15,213427,1,0.583,0.00312,0.583,0.732,9.86E-06,0.269,-5.728,0.0457,145.992,4
86,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,5/6/16,197933,71,0.664,0.0353,0.664,0.714,8.42E-06,0.0843,-6.645,0.111,101.969,4
87,Wrecking Ball,Bangerz (Deluxe Version),Miley Cyrus,10/4/13,221360,76,0.53,0.407,0.53,0.422,0,0.107,-6.262,0.0342,119.964,4
88,Shower,Shower,Becky G,4/23/14,206166,77,0.699,0.0317,0.699,0.529,3.59E-05,0.285,-7.548,0.0487,119.987,4
89,It Ain’t Me (with Selena Gomez),It Ain't Me,Kygo,2/17/17,220780,65,0.64,0.119,0.64,0.533,0,0.0864,-6.596,0.0706,99.968,4
90,Trumpets,Talk Dirty,Jason Derulo,9/10/13,217419,64,0.635,0.555,0.635,0.691,0,0.097,-4.862,0.258,82.142,4
91,Coming Home,Last Train To Paris,Diddy - Dirty Money,1/1/10,238693,69,0.392,0.158,0.392,0.839,0,0.3,-1.921,0.193,168.001,4
92,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/16,251088,74,0.72,0.406,0.72,0.763,0,0.18,-4.068,0.0523,101.965,4
93,Baby,My World 2.0,Justin Bieber,1/1/10,214240,81,0.728,0.0401,0.728,0.859,0,0.111,-5.237,0.137,65.043,4
94,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,6/2/08,275986,80,0.583,0.00864,0.583,0.829,0,0.0426,-4.603,0.134,174.028,4
95,Replay,Replay,Iyaz,8/11/09,182306,72,0.706,0.173,0.706,0.751,0,0.168,-6.323,0.0708,91.031,4
96,Dynamite,Rokstarr,Taio Cruz,1/1/10,203866,65,0.754,0.00332,0.754,0.804,0,0.0329,-3.177,0.0853,119.968,4
97,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,1/1/09,289133,29,0.743,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,127.96,4
98,Some Nights,Some Nights,fun.,2/14/12,277040,69,0.672,0.0178,0.672,0.738,6.75E-05,0.0927,-7.045,0.0506,107.938,4
99,Escape (The Pina Colada Song),Partners In Crime,Rupert Holmes,1/1/79,276493,74,0.836,0.467,0.836,0.509,4.10E-06,0.0436,-13.668,0.0548,138.714,4
100,As It Was,Harry's House,Harry Styles,5/20/22,167303,90,0.52,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
101,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/22,178567,96,0.911,0.0901,0.911,0.712,2.68E-05,0.0933,-5.105,0.0817,92.005,4
102,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/22,258298,96,0.647,0.08,0.647,0.686,1.34E-06,0.528,-5.745,0.0413,79.928,4
103,Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush,1985,298933,82,0.629,0.72,0.629,0.547,0.00314,0.0604,-13.123,0.055,108.375,4
104,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,5/6/22,243716,94,0.65,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,4
105,Late Night Talking,Harry's House,Harry Styles,5/20/22,177954,93,0.714,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,4
