,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
24,spotify:track:6vXi13WQA7ExaAcdTJ26We,Source Ft Aden,Yasin,62,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",98.01.11,51,0.305,0.821,0.554,0.000135,0.164,-8.665,0.302,100.046,4
25,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,67,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Gangsta's Paradise,84,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,79.975,4
26,spotify:track:5SjWXrGT82DWuXxkMcC3DB,MANO,Jireel,62,"['swedish drill', 'swedish hip hop', 'swedish pop', 'swedish reggae', 'swedish trap', 'swedish trap pop']",MOTY,65,0.0347,0.753,0.7,0.0,0.282,-5.297,0.0513,127.895,4
27,spotify:track:2FeBslNBMdR9V58uv6hd2t,N95,Kendrick Lamar,92,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Mr. Morale & The Big Steppers,90,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,139.956,4
28,spotify:track:3SgxrIzomzoZtRLeI46ts1,Rockstar,Einár,64,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Unge Med Extra Energi,53,0.0161,0.892,0.643,1.2e-06,0.118,-6.931,0.157,102.008,4
29,spotify:track:7rwijx2xejRaPkEXUftI11,SOM DOM,Sarettii,58,"['swedish hip hop', 'swedish trap pop']",SOM DOM,66,0.405,0.858,0.575,0.0,0.0639,-8.996,0.138,113.057,4
30,spotify:track:5q4MzJdq5teCsJ4xE6jviK,BANDOL,HAVAL,56,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",BANDOL,61,0.497,0.608,0.737,0.0,0.166,-6.235,0.244,98.105,4
31,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,Ice Cube,73,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",The Predator,80,0.33,0.798,0.744,0.000106,0.292,-5.328,0.136,82.356,4
32,spotify:track:5pWQeWrsXX4JYYihgoxUNN,Marbella,Ant Wan,60,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Wow 2,54,0.396,0.592,0.586,0.00303,0.0933,-4.854,0.0635,110.733,3
33,spotify:track:5nJ2QzaSqSiSsqspMteHaF,EXTRA,ADAAM,62,"['swedish hip hop', 'swedish trap pop']",GRINDTAPE,52,0.542,0.846,0.55,2.94e-05,0.106,-6.375,0.375,94.997,4
