,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
47,Man On The Moon,World Of Walker,Alan Walker,2021-11-26,178625,75,0.668,0.0557,0.668,0.816,1.02e-06,0.197,-5.648,0.0367,129.971,4
48,BED - David Guetta Festival Mix,BED (David Guetta Festival Mix),Joel Corry,2021-04-23,235200,58,0.687,0.00409,0.687,0.916,0.258,0.0474,-4.311,0.0668,125.001,4
49,Oohla Oohla,Together Again,Tiësto,2021-10-15,143280,52,0.694,0.00198,0.694,0.856,0.000189,0.67,-4.937,0.222,124.923,4
50,No Fun,No Fun,Armin van Buuren,2021-11-19,130412,69,0.731,0.00861,0.731,0.904,0.000164,0.0916,-4.774,0.0349,121.03,4
51,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,Ride With Me (feat. Kid Ink) [Brennan Heart Remix],Tungevaag,2021-07-02,230400,64,0.693,0.278,0.693,0.864,0.0388,0.0777,-4.17,0.0483,149.998,4
52,Thunder,Thunder,Gabry Ponte,2021-05-07,160000,82,0.67,0.0342,0.67,0.896,3.21e-05,0.344,-4.673,0.058,101.216,3
53,Eyes On You,Eyes On You,HUGEL,2021-10-01,202515,54,0.917,0.0305,0.917,0.823,0.139,0.131,-6.277,0.12,124.99,4
54,Going Dumb,Going Dumb,Alesso,2021-03-19,168601,67,0.834,0.0546,0.834,0.678,0.263,0.103,-6.242,0.0515,121.995,4
55,On My Mind (with JC Stewart),On My Mind (with JC Stewart),Jonasu,2021-11-26,179068,55,0.646,0.00819,0.646,0.819,0.0115,0.106,-5.725,0.0351,125.979,4
56,Nobody To Love (with Loren Gray),Nobody To Love (with Loren Gray),TELYKast,2021-03-12,146372,63,0.734,0.0937,0.734,0.823,0.0,0.0853,-3.684,0.0853,122.143,4
57,Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,2021-10-22,234000,70,0.542,0.00279,0.542,0.659,0.0,0.105,-7.289,0.0389,120.122,4
58,Pepas,Pepas,Farruko,2021-06-24,287120,87,0.762,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4
59,Dopamine (feat. Eyelar),Dopamine (feat. Eyelar),Purple Disco Machine,2021-08-27,216091,1,0.689,0.0537,0.689,0.797,0.0,0.212,-5.604,0.128,117.982,4
60,Stay the Night,Stay the Night,Sigala,2022-05-20,171954,70,0.636,0.177,0.636,0.936,0.0,0.0879,-2.65,0.0729,124.034,4
61,Okay,Okay,Nicky Romero,2021-07-23,151312,61,0.513,0.0463,0.513,0.836,0.0,0.128,-3.781,0.0579,124.964,4
62,Somebody To Use,Somebody To Use,Alesso,2021-11-19,154031,58,0.604,0.113,0.604,0.792,1.88e-05,0.149,-4.5,0.0866,119.953,4
63,Good Ones - Joel Corry Remix,Good Ones (Joel Corry Remix),Charli XCX,2021-10-04,165141,60,0.719,0.0385,0.719,0.807,0.0178,0.121,-4.383,0.0365,124.961,4
64,Losing My Mind,Losing My Mind,Majestic,2021-08-06,204849,57,0.601,0.0317,0.601,0.881,0.0364,0.441,-3.834,0.0291,125.026,4
65,Destination,Destination,DLMT,2021-01-15,185364,49,0.779,0.0575,0.779,0.884,4.04e-06,0.093,-4.074,0.0878,121.981,4
66,Sweet Talker,Sweet Talker,Years & Years,2021-11-24,176930,68,0.429,0.228,0.429,0.905,0.0,0.0714,-2.93,0.0512,121.025,4
67,Believe Me,Believe Me,Navos,2021-01-22,188260,73,0.629,0.129,0.629,0.876,1.39e-06,0.29,-5.572,0.0408,124.999,4
68,Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine,2021-02-19,199705,10,0.751,0.00714,0.751,0.764,3.76e-06,0.154,-5.268,0.045,118.026,4
69,We'll Be Dancing Soon,We'll Be Dancing Soon,Dimitri Vegas & Like Mike,2021-04-23,158312,56,0.763,0.0565,0.763,0.853,2.62e-06,0.149,-4.538,0.17,119.958,4
70,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),Elton John,2021-08-13,202735,89,0.796,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,4
71,Don't Be Shy,Don't Be Shy,Tiësto,2021-08-12,140500,84,0.77,0.198,0.77,0.787,0.0,0.262,-3.748,0.0583,119.986,4
